Subject_ID,FINAL_QC
ABIDEII_NYU_2_29172,1
ABIDEII_OHSU_1_28920,1
ABIDEII_OHSU_1_28924,1
ABIDEII_OHSU_1_28926,1
ABIDEII_OHSU_1_28927,1
ABIDEII_OHSU_1_28931,1
ABIDEII_OHSU_1_28935,1
ABIDEII_OHSU_1_28938,1
ABIDEII_OHSU_1_28939,1
ABIDEII_OHSU_1_28941,1
ABIDEII_OHSU_1_28942,1
ABIDEII_OHSU_1_28945,1
ABIDEII_OHSU_1_28946,1
ABIDEII_OHSU_1_28947,1
ABIDEII_OHSU_1_28949,1
ABIDEII_OHSU_1_28950,1
ABIDEII_OHSU_1_28952,1
ABIDEII_OHSU_1_28954,1
ABIDEII_OHSU_1_28955,1
ABIDEII_OHSU_1_28956,1
ABIDEII_OHSU_1_28957,1
ABIDEII_OHSU_1_28958,1
ABIDEII_OHSU_1_28960,1
ABIDEII_OHSU_1_28961,1
ABIDEII_OHSU_1_28966,1
ABIDEII_OHSU_1_28967,1
ABIDEII_OHSU_1_28968,1
ABIDEII_OHSU_1_28969,1
ABIDEII_OHSU_1_28970,1
ABIDEII_OHSU_1_28971,1
ABIDEII_OHSU_1_28972,1
ABIDEII_OHSU_1_28973,1
ABIDEII_OHSU_1_28975,1
ABIDEII_OHSU_1_28976,1
ABIDEII_OHSU_1_28977,1
ABIDEII_OHSU_1_28978,1
ABIDEII_OHSU_1_28979,1
ABIDEII_OHSU_1_28980,1
ABIDEII_OHSU_1_28982,1
ABIDEII_OHSU_1_28983,1
ABIDEII_OHSU_1_28985,1
ABIDEII_OHSU_1_28986,1
ABIDEII_OHSU_1_28988,1
ABIDEII_OHSU_1_28989,1
ABIDEII_OHSU_1_28990,1
ABIDEII_OHSU_1_28991,1
ABIDEII_OHSU_1_28992,1
ABIDEII_OHSU_1_28993,1
ABIDEII_OHSU_1_28994,1
ABIDEII_OHSU_1_28995,1
ABIDEII_OHSU_1_28997,1
ABIDEII_OHSU_1_28998,1
ABIDEII_OHSU_1_28999,1
ABIDEII_OHSU_1_29000,1
ABIDEII_OHSU_1_29001,1
ABIDEII_OHSU_1_29002,1
ABIDEII_OHSU_1_29003,1
ABIDEII_OHSU_1_29004,1
ABIDEII_OHSU_1_30154,1
ABIDEII_OHSU_1_30155,0.5
ABIDEII_OHSU_1_30156,1
ABIDEII_OHSU_1_30157,1
ABIDEII_OHSU_1_30158,1
ABIDEII_OHSU_1_30160,1
ABIDEII_OHSU_1_30162,1
ABIDEII_OHSU_1_30164,1
ABIDEII_OHSU_1_30165,1
ABIDEII_OHSU_1_30166,0.5
ABIDEII_OHSU_1_30167,1
ABIDEII_SDSU_1_28854,1
ABIDEII_SDSU_1_28855,1
ABIDEII_SDSU_1_28859,1
ABIDEII_SDSU_1_28860,0.5
ABIDEII_SDSU_1_28863,1
ABIDEII_SDSU_1_28864,1
ABIDEII_SDSU_1_28865,1
ABIDEII_SDSU_1_28867,1
ABIDEII_SDSU_1_28868,1
ABIDEII_SDSU_1_28870,1
ABIDEII_SDSU_1_28872,0
ABIDEII_SDSU_1_28873,1
ABIDEII_SDSU_1_28874,1
ABIDEII_SDSU_1_28876,1
ABIDEII_SDSU_1_28878,1
ABIDEII_SDSU_1_28880,1
ABIDEII_SDSU_1_28882,0
ABIDEII_SDSU_1_28883,1
ABIDEII_SDSU_1_28888,1
ABIDEII_SDSU_1_28889,1
ABIDEII_SDSU_1_28890,1
ABIDEII_SDSU_1_28891,1
ABIDEII_SDSU_1_28893,1
ABIDEII_SDSU_1_28894,1
ABIDEII_SDSU_1_28897,1
ABIDEII_SDSU_1_28900,0.5
ABIDEII_SDSU_1_28902,0.5
ABIDEII_SDSU_1_28903,1
ABIDEII_SDSU_1_28904,1
ABIDEII_SDSU_1_28906,1
ABIDEII_SDSU_1_28908,1
ABIDEII_SDSU_1_28909,1
ABIDEII_UCD_1_29998,1
ABIDEII_UCD_1_30000,1
ABIDEII_UCD_1_30001,1
ABIDEII_UCD_1_30003,1
ABIDEII_UCD_1_30004,1
ABIDEII_UCD_1_30007,1
ABIDEII_UCD_1_30008,1
